run_id,ACO_UNWIND_THRESHOLD,ACO_TAKE_PROFIT,ACO_PRICE_OFFSET,ACO_PRC_SKEW1,ACO_PRC_SKEW2,ACO_SKEW_LEVEL1,ACO_SKEW_LEVEL2,ACO_MA_WINDOW,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
280,10,20,1,2,2,50,75,10,301734.0,53462.0,248272.0,11.09
281,10,20,1,2,3,40,65,5,301308.5,53036.5,248272.0,10.85
282,10,20,1,2,3,40,65,10,301402.0,53130.0,248272.0,11.01
283,10,20,1,2,3,40,75,5,301308.5,53036.5,248272.0,10.9
284,10,20,1,2,3,40,75,10,301402.0,53130.0,248272.0,11.1
285,10,20,1,2,3,50,65,5,301640.5,53368.5,248272.0,10.91
286,10,20,1,2,3,50,65,10,301734.0,53462.0,248272.0,11.07
287,10,20,1,2,3,50,75,5,301640.5,53368.5,248272.0,10.93
288,10,20,1,2,3,50,75,10,301734.0,53462.0,248272.0,11.02
289,10,20,2,1,2,40,65,5,295345.5,47073.5,248272.0,10.9
290,10,20,2,1,2,40,65,10,295423.0,47151.0,248272.0,11.02
291,10,20,2,1,2,40,75,5,295345.5,47073.5,248272.0,10.95
292,10,20,2,1,2,40,75,10,295423.0,47151.0,248272.0,11.02
293,10,20,2,1,2,50,65,5,295511.5,47239.5,248272.0,10.94
294,10,20,2,1,2,50,65,10,295589.0,47317.0,248272.0,11.07
295,10,20,2,1,2,50,75,5,295511.5,47239.5,248272.0,10.93
296,10,20,2,1,2,50,75,10,295589.0,47317.0,248272.0,11.07
297,10,20,2,1,3,40,65,5,295345.5,47073.5,248272.0,10.93
298,10,20,2,1,3,40,65,10,295423.0,47151.0,248272.0,11.11
299,10,20,2,1,3,40,75,5,295345.5,47073.5,248272.0,11.0
300,10,20,2,1,3,40,75,10,295423.0,47151.0,248272.0,11.04
301,10,20,2,1,3,50,65,5,295511.5,47239.5,248272.0,10.86
302,10,20,2,1,3,50,65,10,295589.0,47317.0,248272.0,11.02
303,10,20,2,1,3,50,75,5,295511.5,47239.5,248272.0,10.94
304,10,20,2,1,3,50,75,10,295589.0,47317.0,248272.0,11.13
305,10,20,2,2,2,40,65,5,295119.5,46847.5,248272.0,10.85
306,10,20,2,2,2,40,65,10,295215.0,46943.0,248272.0,11.03
307,10,20,2,2,2,40,75,5,295119.5,46847.5,248272.0,10.86
308,10,20,2,2,2,40,75,10,295215.0,46943.0,248272.0,11.01
309,10,20,2,2,2,50,65,5,295451.5,47179.5,248272.0,10.92
310,10,20,2,2,2,50,65,10,295547.0,47275.0,248272.0,11.1
311,10,20,2,2,2,50,75,5,295451.5,47179.5,248272.0,10.91
312,10,20,2,2,2,50,75,10,295547.0,47275.0,248272.0,11.1
313,10,20,2,2,3,40,65,5,295119.5,46847.5,248272.0,10.89
314,10,20,2,2,3,40,65,10,295215.0,46943.0,248272.0,11.09
315,10,20,2,2,3,40,75,5,295119.5,46847.5,248272.0,10.92
316,10,20,2,2,3,40,75,10,295215.0,46943.0,248272.0,11.03
317,10,20,2,2,3,50,65,5,295451.5,47179.5,248272.0,10.95
318,10,20,2,2,3,50,65,10,295547.0,47275.0,248272.0,11.19
319,10,20,2,2,3,50,75,5,295451.5,47179.5,248272.0,10.89
320,10,20,2,2,3,50,75,10,295547.0,47275.0,248272.0,11.07
321,10,30,1,1,2,40,65,5,301728.5,53456.5,248272.0,10.98
322,10,30,1,1,2,40,65,10,301705.0,53433.0,248272.0,11.02
323,10,30,1,1,2,40,75,5,301728.5,53456.5,248272.0,10.96
324,10,30,1,1,2,40,75,10,301705.0,53433.0,248272.0,11.03
325,10,30,1,1,2,50,65,5,301919.5,53647.5,248272.0,10.95
326,10,30,1,1,2,50,65,10,301927.0,53655.0,248272.0,11.03
327,10,30,1,1,2,50,75,5,301919.5,53647.5,248272.0,10.97
328,10,30,1,1,2,50,75,10,301927.0,53655.0,248272.0,11.07
329,10,30,1,1,3,40,65,5,301728.5,53456.5,248272.0,10.97
330,10,30,1,1,3,40,65,10,301705.0,53433.0,248272.0,11.13
331,10,30,1,1,3,40,75,5,301728.5,53456.5,248272.0,11.07
332,10,30,1,1,3,40,75,10,301705.0,53433.0,248272.0,11.03
333,10,30,1,1,3,50,65,5,301919.5,53647.5,248272.0,10.9
334,10,30,1,1,3,50,65,10,301927.0,53655.0,248272.0,11.01
335,10,30,1,1,3,50,75,5,301919.5,53647.5,248272.0,10.92
